,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
Date,18 Dec 2023,18 Dec 2023,18 Dec 2023,18 Dec 2023,19 Dec 2023,19 Dec 2023,19 Dec 2023,19 Dec 2023,19 Dec 2023,19 Dec 2023,19 Dec 2023,20 Dec 2023,20 Dec 2023,20 Dec 2023,20 Dec 2023,20 Dec 2023,20 Dec 2023
Time ( UTC),14:59:00,17:59:00,20:59:00,23:59:00,02:59:00,05:59:00,08:59:00,11:59:00,15:00:00,18:00:00,21:00:00,00:00:00,03:00:00,06:00:00,09:00:00,12:00:00,15:00:00
Latitude,-35.04999999999999,-34.935270039677825,-34.79435423159006,-34.41542166228125,-34.000390183889344,-33.58096395901789,-33.157155385785344,-32.72903594031187,-32.296699999999994,-31.93095124006604,-31.561776180708026,-31.18910893659884,-30.81284903245695,-30.433135880200183,-30.04988116098209,-29.663228277602936,-29.2733
Longitude,-55.2517,-54.52816009064901,-53.81236682430901,-53.24238853756989,-52.70269774851691,-52.16565160968876,-51.631239017048856,-51.09938225905006,-50.57,-50.049710936309694,-49.531345645863404,-49.01497222452502,-48.50069509061536,-47.98838067409537,-47.478123157274034,-46.96978429196865,-46.4633
Steaming Distance Since Last Noon Report,0.0,44.3,44.3,44.3,44.3,44.3,44.3,44.3,44.3,40.64,40.64,40.64,40.64,40.64,40.64,40.64,40.64
Steaming Hours Since Last noon Report,0.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0166666666666666,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0
Average Speed Since Last noon Report,0.0,14.766666666666666,14.766666666666666,14.766666666666666,14.766666666666666,14.766666666666666,14.766666666666666,14.766666666666666,14.685082872928175,13.546666666666667,13.546666666666667,13.546666666666667,13.546666666666667,13.546666666666667,13.546666666666667,13.546666666666667,13.546666666666667
Average Ships Course since Last Report,0.0,79.30116587584608,76.77132912908472,51.361372247089164,47.36408400996735,47.0620207366352,46.76287220907068,46.47407671225528,46.197166326324414,50.582914350928036,50.327778571290565,50.064973347178274,49.78992011137736,49.53373900480657,49.266684051731666,49.018810557367296,48.78421764801932
Point Type,Original,Derived,Derived,Derived,Derived,Derived,Derived,Derived,Original,Derived,Derived,Derived,Derived,Derived,Derived,Derived,Original
swellDirection,103.59,76.11,68.08,65.9,65.77,64.61,58.95,54.35,52.53,46.41,198.25,50.33,197.01,201.16,207.31,144.36,205.56
swellHeight,0.35,0.67,0.84,0.85,0.81,0.85,0.88,0.99,1.06,1.12,0.51,1.09,1.2,1.14,1.18,0.08,1.65
