,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69
Date,06 Jan 2024,06 Jan 2024,06 Jan 2024,06 Jan 2024,07 Jan 2024,07 Jan 2024,07 Jan 2024,07 Jan 2024,07 Jan 2024,07 Jan 2024,07 Jan 2024,07 Jan 2024,08 Jan 2024,08 Jan 2024,08 Jan 2024,08 Jan 2024,08 Jan 2024,08 Jan 2024,08 Jan 2024,08 Jan 2024,09 Jan 2024,09 Jan 2024,09 Jan 2024,09 Jan 2024,09 Jan 2024,09 Jan 2024,09 Jan 2024,09 Jan 2024,10 Jan 2024,10 Jan 2024,10 Jan 2024,10 Jan 2024,10 Jan 2024,10 Jan 2024,10 Jan 2024,10 Jan 2024,11 Jan 2024,11 Jan 2024,11 Jan 2024,11 Jan 2024,11 Jan 2024,11 Jan 2024,11 Jan 2024,12 Jan 2024,12 Jan 2024,12 Jan 2024,12 Jan 2024,12 Jan 2024,12 Jan 2024,12 Jan 2024,12 Jan 2024,13 Jan 2024,13 Jan 2024,13 Jan 2024,13 Jan 2024,13 Jan 2024,13 Jan 2024,13 Jan 2024,13 Jan 2024,14 Jan 2024,14 Jan 2024,14 Jan 2024,14 Jan 2024,14 Jan 2024,14 Jan 2024,14 Jan 2024,14 Jan 2024,15 Jan 2024,15 Jan 2024,15 Jan 2024
Time ( UTC),12:00:03,15:00:03,18:00:03,21:00:03,00:00:03,04:00:13,07:00:13,10:00:13,13:00:13,16:00:13,19:00:13,22:00:13,01:00:13,04:00:13,07:00:13,10:00:13,13:00:13,16:00:13,19:00:13,22:00:13,01:00:13,05:00:13,08:00:13,11:00:13,14:00:13,17:00:13,20:00:13,23:00:13,02:00:13,05:00:13,08:00:13,11:00:13,14:00:13,17:00:13,20:00:13,23:00:13,02:00:13,06:00:13,09:00:13,12:00:13,15:00:13,18:00:13,21:00:13,00:00:13,03:00:13,06:00:13,09:00:13,12:00:13,15:00:13,18:00:13,21:00:13,00:00:13,03:00:13,06:00:13,09:00:13,12:00:13,15:00:13,18:00:13,21:00:13,00:00:13,03:00:13,07:00:13,10:00:13,13:00:13,16:00:13,19:00:13,22:00:13,01:00:13,04:00:13,07:00:13
Latitude,1.2,1.5399302607673813,1.892510526675147,2.317168696791442,2.70551157073202,3.1044440000000004,3.5568087340055583,3.94328350787724,4.325563127158607,4.6521734824485845,5.06861330850326,5.457186528979169,5.845074223469958,6.232222,6.198759634107488,6.177760377850866,5.88618763049444,5.551113364975268,5.215203241203051,4.878515982387111,4.541102622642589,4.203056,3.8559157053901205,3.5084281827931854,3.1606180928323053,2.8125035009347075,2.4641300485205475,2.115518222262216,1.7667115625552308,1.4177779999999998,1.478695477274072,1.5395465915964186,1.600328692337491,1.6610331989815603,1.7216632504015035,1.7822099254238715,1.8426767221704692,1.903056,2.284661582917027,2.6659744715691844,3.04694399568788,3.427499717023509,3.8076143641630837,4.1872140311860475,4.566275633287664,4.944721999999998,5.2285745992407575,5.511631392463863,5.793844517925606,6.075110837360079,6.355448280284512,6.634749930942746,6.913039097224431,7.190278000000002,7.653874643922051,8.153670175511003,8.651908260184678,9.00655742018224,9.1390730526552,9.26983973622237,9.398856244028721,9.526110999999998,9.790318040852677,10.053198903469182,10.314707441480293,10.57471567882948,10.833283066022315,11.090279159047407,11.345768824360523,11.599719999999998
Longitude,103.566666666667,102.9692774107231,102.37169811404594,101.82555942596451,101.25302781864423,100.6939,100.23811019491141,99.72488765768409,99.21524017976719,98.66751554050211,98.18869526026091,97.6762209114146,97.16341471967587,96.65028,95.948667349453,95.24679558048,94.61354673809689,93.99711157598492,93.38103083705889,92.7652787696435,92.14983382018603,91.53472,91.10008848565646,90.66562183422023,90.23131041996312,89.79714996516941,89.3631140586275,88.92919654348425,88.49537274036138,88.06167,87.67503771306355,87.28839523240268,86.90174216174167,86.51507717461294,86.12840078844496,85.74171162850476,85.35501026923293,84.96832999999998,84.4308517495461,83.89323747932033,83.35546315244346,82.81749067759019,82.27931257589891,81.7408882559512,81.20221310798733,80.66333,79.99884207524543,79.33406711883383,78.66898792917408,78.00356377728522,77.33780580077605,76.67167195159523,76.0051756497037,75.33833,74.69298765892,74.0756864651837,73.45761458324242,72.76873141901066,71.98281533892535,71.19660715130209,70.41011031420615,69.62333,68.99016237203226,68.35651621987189,67.72237534919863,67.08768910939249,66.45248654787089,65.81671658484706,65.18041037940358,64.54361
Steaming Distance Since Last Noon Report,0.0,41.72,41.72,41.72,41.72,41.72,38.72,38.72,38.72,38.72,38.72,38.72,38.72,38.72,42.22,42.22,42.22,42.22,42.22,42.22,42.22,42.22,33.47,33.47,33.47,33.47,33.47,33.47,33.47,33.46,23.53,23.53,23.53,23.53,23.53,23.53,23.53,23.52,39.63,39.63,39.63,39.63,39.63,39.63,39.63,39.63,43.46,43.46,43.46,43.46,43.46,43.46,43.46,43.46,47.92,47.92,47.92,47.92,47.92,47.92,47.92,47.92,41.33,41.33,41.33,41.33,41.33,41.33,41.33,41.32
Steaming Hours Since Last noon Report,0.0,3.0,3.0,3.0,3.0,4.002777777777778,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,4.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,4.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,4.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0
Average Speed Since Last noon Report,0.0,13.906666666666666,13.906666666666666,13.906666666666666,13.906666666666666,10.422761970853573,12.906666666666666,12.906666666666666,12.906666666666666,12.906666666666666,12.906666666666666,12.906666666666666,12.906666666666666,12.906666666666666,14.073333333333332,14.073333333333332,14.073333333333332,14.073333333333332,14.073333333333332,14.073333333333332,14.073333333333332,10.555,11.156666666666666,11.156666666666666,11.156666666666666,11.156666666666666,11.156666666666666,11.156666666666666,11.156666666666666,11.153333333333334,7.843333333333334,7.843333333333334,7.843333333333334,7.843333333333334,7.843333333333334,7.843333333333334,7.843333333333334,5.88,13.21,13.21,13.21,13.21,13.21,13.21,13.21,13.21,14.486666666666666,14.486666666666666,14.486666666666666,14.486666666666666,14.486666666666666,14.486666666666666,14.486666666666666,14.486666666666666,15.973333333333334,15.973333333333334,15.973333333333334,15.973333333333334,15.973333333333334,15.973333333333334,15.973333333333334,11.98,13.776666666666666,13.776666666666666,13.776666666666666,13.776666666666666,13.776666666666666,13.776666666666666,13.776666666666666,13.773333333333333
Average Ships Course since Last Report,0.0,299.48987089504396,300.39309763556025,307.70975678049956,304.0082485058321,305.37487043777185,314.653587965351,306.8725385795885,306.77915741041517,300.7382485469951,310.9472318974329,307.126575942058,307.07989300064406,307.03072234770156,267.30947298993533,268.3254951342333,245.3340488430896,241.54382099661098,241.4821614041768,241.42495351357474,241.37146516596772,241.32287473527126,231.51861176979153,231.49034936584547,231.4636689279666,231.43769042643072,231.41604422387314,231.39540251920528,231.3788007138916,231.3648334400244,278.90257614478924,278.89325593884655,278.883554760614,278.87259907686274,278.8621149712112,278.85032599285756,278.83906130708334,278.82745325705537,305.2208457523658,305.20236340368535,305.1802842057989,305.15249375353613,305.1235736299531,305.0885477173809,305.0528089530333,305.01486833557436,293.10395405254206,293.04821289593485,292.98888364140953,292.9211913600057,292.85555295884757,292.78120013845205,292.70933718468325,292.63546953770924,305.78289308357785,309.12013061991615,309.0358307135186,297.41796150116255,279.6895015465135,279.5657102215038,279.4417733176789,279.31696800055215,292.8607769596366,292.76039959434524,292.65612262725534,292.5404523835392,292.43049057123034,292.3088747836492,292.1934258588868,292.0768866517879
Point Type,Original,Derived,Derived,Derived,Derived,Original,Derived,Derived,Derived,Derived,Derived,Derived,Derived,Original,Derived,Derived,Derived,Derived,Derived,Derived,Derived,Original,Derived,Derived,Derived,Derived,Derived,Derived,Derived,Original,Derived,Derived,Derived,Derived,Derived,Derived,Derived,Original,Derived,Derived,Derived,Derived,Derived,Derived,Derived,Original,Derived,Derived,Derived,Derived,Derived,Derived,Derived,Original,Derived,Derived,Derived,Derived,Derived,Derived,Derived,Original,Derived,Derived,Derived,Derived,Derived,Derived,Derived,Original
swellDirection,318.65,325.4,114.89,304.47,278.09,323.05,343.64,353.16,6.4,27.2,40.58,53.35,56.85,240.59,228.99,217.79,209.55,206.12,206.42,193.41,162.7,182.45,197.29,84.27,24.75,33.81,153.38,98.26,43.52,187.84,332.77,2.78,200.22,212.01,173.73,151.82,155.02,157.38,155.39,153.24,210.42,209.1,175.88,197.75,203.98,327.77,144.11,199.12,153.2,146.53,324.75,326.36,343.12,149.22,336.3,176.34,177.41,334.34,191.29,262.7,167.12,163.45,116.33,1.49,200.71,194.33,175.24,116.77,145.55,193.75
