,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57
Date,23 Jan 2024,23 Jan 2024,23 Jan 2024,23 Jan 2024,23 Jan 2024,23 Jan 2024,24 Jan 2024,24 Jan 2024,24 Jan 2024,24 Jan 2024,24 Jan 2024,24 Jan 2024,24 Jan 2024,24 Jan 2024,25 Jan 2024,25 Jan 2024,25 Jan 2024,25 Jan 2024,25 Jan 2024,25 Jan 2024,25 Jan 2024,25 Jan 2024,26 Jan 2024,26 Jan 2024,26 Jan 2024,26 Jan 2024,26 Jan 2024,26 Jan 2024,26 Jan 2024,26 Jan 2024,27 Jan 2024,27 Jan 2024,27 Jan 2024,27 Jan 2024,27 Jan 2024,27 Jan 2024,27 Jan 2024,27 Jan 2024,28 Jan 2024,28 Jan 2024,28 Jan 2024,28 Jan 2024,28 Jan 2024,28 Jan 2024,28 Jan 2024,29 Jan 2024,29 Jan 2024,29 Jan 2024,29 Jan 2024,29 Jan 2024,29 Jan 2024,29 Jan 2024,29 Jan 2024,30 Jan 2024,30 Jan 2024,30 Jan 2024,30 Jan 2024,30 Jan 2024
Time ( UTC),07:00:00,11:00:00,14:00:00,17:00:00,20:00:00,23:00:00,02:00:00,05:00:00,08:00:00,11:00:00,14:00:00,17:00:00,20:00:00,23:00:00,02:00:00,05:00:00,08:00:00,11:00:00,14:00:00,17:00:00,20:00:00,23:00:00,02:00:00,05:00:00,08:00:00,11:00:00,14:00:00,17:00:00,20:00:00,23:00:00,02:00:00,05:00:00,08:00:00,11:00:00,14:00:00,17:00:00,20:00:00,23:00:00,02:00:00,05:00:00,08:00:00,12:00:00,15:00:00,18:00:00,21:00:00,00:00:00,03:00:00,06:00:00,09:00:00,12:00:00,15:00:00,18:00:00,21:00:00,00:00:00,03:00:00,06:00:00,09:00:00,12:00:00
Latitude,52.039999999999985,51.89,51.580730336399796,51.21443152783389,50.90557397568551,50.63082404745121,50.49125196173025,50.37005793887991,50.24941072457804,50.109999999999985,49.99412111605067,49.74096624340515,49.48816117070522,49.23334503934605,48.97842857218522,48.58757294635489,48.13127280439194,47.67000000000001,47.18098220499977,46.69134678719923,46.196759404163195,45.692965927074084,45.18504507674012,44.67278187077239,44.16373548016496,43.64999999999999,43.082354011294704,42.46757423890006,41.86589836269415,41.25800003915703,40.643893930217565,40.023602325622754,39.388511527034126,38.74,38.169760461050096,37.54819650885285,36.92139060210636,36.28937460558648,35.65218303337624,35.00985299944028,34.36242499770561,33.71,33.07895740386134,32.44310251418104,31.802477552171357,31.166559141769348,30.53182967603599,29.89534951711165,29.32506091593632,28.810000000000002,28.292030717570633,27.76615473449241,27.234783314353592,26.72943931085546,26.227617843986025,25.722050657442857,25.212797350414036,24.699999999999996
Longitude,3.839999999999999,2.66,2.146978888342785,1.741335559736784,1.2158391904152948,0.64422434283797,-0.036253105953154244,-0.7301243704213933,-1.4243764512628807,-2.11,-2.869648452729065,-3.543785515838293,-4.221254114493131,-4.898106292141631,-5.57602775437604,-6.03721898968317,-6.409110811054715,-6.779999999999999,-7.156223639788921,-7.543097345251311,-7.928805176333332,-8.301728559504383,-8.675902524268325,-9.050699566415991,-9.445682363487473,-9.84,-10.102207542423962,-10.17431119926593,-10.415699485011615,-10.65481089279235,-10.891686004811321,-11.126386159919155,-11.31019421920255,-11.45,-11.727849909947414,-11.770609336711408,-11.813013308865804,-11.85507174468765,-11.89679123132872,-11.938172849587689,-11.97922941263074,-12.019999999999998,-11.840169599561046,-11.66160154545947,-11.48429659534425,-11.660970508340956,-11.899736808877073,-12.14454531034974,-12.560183181715747,-13.05,-13.488599536238956,-13.918881695934136,-14.34457707561474,-14.811468103542207,-15.286636228964092,-15.759739217670758,-16.23082742694645,-16.699999999999996
Steaming Distance Since Last Noon Report,0.0,80.19,43.25,43.25,43.25,43.25,43.25,43.25,43.25,43.25,46.99,46.99,46.99,46.99,46.99,46.99,46.99,46.99,48.98,48.98,48.98,48.98,48.98,48.98,48.98,48.98,50.91,50.91,50.91,50.91,50.91,50.91,50.91,50.9,47.39,47.39,47.39,47.39,47.39,47.39,47.39,47.39,46.7,46.7,46.7,46.7,46.7,46.7,46.7,46.7,44.17,44.17,44.17,44.17,44.17,44.17,44.17,44.17
Steaming Hours Since Last noon Report,0.0,4.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,4.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0
Average Speed Since Last noon Report,0.0,20.0475,14.416666666666666,14.416666666666666,14.416666666666666,14.416666666666666,14.416666666666666,14.416666666666666,14.416666666666666,14.416666666666666,15.663333333333334,15.663333333333334,15.663333333333334,15.663333333333334,15.663333333333334,15.663333333333334,15.663333333333334,15.663333333333334,16.326666666666664,16.326666666666664,16.326666666666664,16.326666666666664,16.326666666666664,16.326666666666664,16.326666666666664,16.326666666666664,16.97,16.97,16.97,16.97,16.97,16.97,16.97,16.966666666666665,15.796666666666667,15.796666666666667,15.796666666666667,15.796666666666667,15.796666666666667,15.796666666666667,15.796666666666667,11.8475,15.566666666666668,15.566666666666668,15.566666666666668,15.566666666666668,15.566666666666668,15.566666666666668,15.566666666666668,15.566666666666668,14.723333333333334,14.723333333333334,14.723333333333334,14.723333333333334,14.723333333333334,14.723333333333334,14.723333333333334,14.723333333333334
Average Ships Course since Last Report,0.0,258.836715026187,226.0469192057275,214.87056667503444,227.20009929881456,233.0618584477386,252.4143821584704,254.97427004125308,255.08485271803988,252.69336300580017,256.96297157474885,240.1022062926162,240.38927908881084,240.2984162590414,240.4555870452675,218.119374357857,208.64784823418498,208.537249639229,207.70797143859093,208.56388936547472,208.4686049170669,207.44585113340227,207.54554603962802,207.59546133974112,209.21731544971135,209.16409927028167,198.71411530588364,184.96271245071256,196.69954157514013,196.53779553110041,196.37905182767895,196.2247744677216,192.6599776523415,189.58433853979062,201.0504727018554,183.135075365988,183.10902423719924,183.08369846319525,183.0588534588252,183.03408503030286,183.01025405634155,182.9895440344174,166.5065951897635,166.6029716640833,166.69938341908681,193.43815457725313,198.0423627959968,198.53369693013718,212.5947093670727,219.99762528849175,216.88908672668464,216.08257755816328,215.63946583363463,219.72225102020343,220.5417070651383,220.32978647291122,220.1236232542476,219.93056024815036
Point Type,Original,Original,Derived,Derived,Derived,Derived,Derived,Derived,Derived,Original,Derived,Derived,Derived,Derived,Derived,Derived,Derived,Original,Derived,Derived,Derived,Derived,Derived,Derived,Derived,Original,Derived,Derived,Derived,Derived,Derived,Derived,Derived,Original,Derived,Derived,Derived,Derived,Derived,Derived,Derived,Original,Derived,Derived,Derived,Derived,Derived,Derived,Derived,Original,Derived,Derived,Derived,Derived,Derived,Derived,Derived,Original
swellDirection,321.82,332.64,350.14,6.68,223.87,218.07,251.68,254.69,246.41,255.01,253.24,258.85,263.68,266.57,267.97,270.63,270.63,272.76,295.24,277.9,316.68,330.89,290.48,275.52,323.74,303.7,290.57,295.95,300.83,299.74,300.54,299.55,300.14,303.01,304.09,306.52,307.48,308.15,310.01,313.02,243.02,317.95,320.26,319.4,323.29,321.37,322.42,324.02,327.51,333.46,352.41,211.2,246.7,339.07,344.99,333.98,221.84,201.69
